cell_name,frame,AP,LR,VD,parent
P0,0,0,0,0,
P0,1,0.3,0.1,0.1,
AB,2,1.4,0.6,0.2,P0
P1,2,-1.5,-0.5,-0.2,P0
AB,3,1.7,0.8,0.3,P0
P1,3,-1.8,-0.7,-0.1,P0
ABa,4,2.5,1.5,0.6,AB
ABp,4,1.7,-0.2,0.1,AB
EMS,4,-1.0,0.5,-0.4,P1
P2,4,-2.7,-1.3,0.0,P1
ABa,5,2.8,1.8,0.7,AB
ABp,5,1.8,-0.4,0.0,AB
EMS,5,-1.0,0.7,-0.5,P1
P2,5,-3.0,-1.6,0.2,P1
ABal,6,3.7,2.2,0.9,ABa
ABar,6,2.1,2.5,0.5,ABa
ABpl,6,2.2,-1.1,0.6,ABp
ABpr,6,1.2,-0.5,-0.7,ABp
MS,6,-0.1,1.4,-0.8,EMS
E,6,-1.9,0.5,-0.2,EMS
C,6,-2.5,-0.7,0.8,P2
P3,6,-3.8,-2.1,-0.2,P2
ABal,7,4.0,2.4,1.0,ABa
ABar,7,2.0,2.8,0.4,ABa
ABpl,7,2.5,-1.4,0.8,ABp
ABpr,7,1.0,-0.7,-0.9,ABp
MS,7,0.1,1.7,-0.9,EMS
E,7,-2.0,0.7,-0.1,EMS
C,7,-2.7,-0.8,1.0,P2
P3,7,-4.1,-2.4,-0.4,P2
ABpla,8,3.2,-1.0,1.1,ABpl
ABplp,8,2.2,-2.0,0.6,ABpl
ABpra,8,1.2,-0.2,-1.2,ABpr
ABprp,8,0.5,-1.2,-0.8,ABpr
MSa,8,0.7,2.3,-0.7,MS
MSp,8,-0.3,1.5,-1.2,MS
Ea,8,-1.7,1.1,0.2,E
Ep,8,-2.6,0.2,-0.3,E
Ca,8,-2.1,-0.5,1.6,C
Cp,8,-3.4,-1.3,0.8,C
D,8,-3.5,-1.9,-0.9,P3
P4,8,-4.8,-3.0,-0.2,P3
MysteryCell,8,0.0,3.6,1.8,
ABpla,9,3.5,-0.8,1.3,ABpl
ABplp,9,2.3,-2.3,0.5,ABpl
ABpra,9,1.4,0.0,-1.4,ABpr
ABprp,9,0.3,-1.5,-0.9,ABpr
MSa,9,1.0,2.6,-0.5,MS
MSp,9,-0.4,1.7,-1.5,MS
Ea,9,-1.4,1.5,0.4,E
Ep,9,-2.9,0.0,-0.4,E
Ca,9,-1.9,-0.3,1.9,C
Cp,9,-3.7,-1.5,0.9,C
D,9,-3.5,-1.7,-1.2,P3
P4,9,-5.1,-3.3,-0.1,P3
MysteryCell,9,0.2,3.9,2.0,
ABpla,10,3.8,-0.5,1.5,ABpl
ABplp,10,2.4,-2.6,0.3,ABpl
ABpra,10,1.7,0.2,-1.6,ABpr
ABprp,10,0.1,-1.8,-1.0,ABpr
MSa,10,1.3,2.9,-0.3,MS
MSp,10,-0.5,2.0,-1.7,MS
Ea,10,-1.2,1.9,0.6,E
Ep,10,-3.2,-0.2,-0.5,E
Ca,10,-1.7,-0.1,2.2,C
Cp,10,-4.0,-1.7,1.0,C
D,10,-3.4,-1.5,-1.5,P3
Z2,10,-4.7,-3.0,0.2,P4
Z3,10,-5.5,-3.8,-0.4,P4
MysteryCell,10,0.4,4.2,2.2,
