tree_order,cell_name,parent,founder_lineage,generation_from_founder,depth_from_P0,is_terminal,x_position,birth_time_min,end_time_min,branch_duration_min,apop_fate,ignore_apoptosis_fate
1,P0,,P0,0,0,False,424.3916015625,0.0,40.0,40.0,Unspecified,Not annotated
2,AB,P0,AB,0,1,False,245.2783203125,40.0,57.0,17.0,Unspecified,Not annotated
3,ABa,AB,AB,1,2,False,130.279296875,57.0,75.0,18.0,Unspecified,Not annotated
4,ABal,ABa,AB,2,3,False,64.85546875,75.0,93.0,18.0,Unspecified,Unspecified
5,ABala,ABal,AB,3,4,False,31.328125,93.0,112.0,19.0,Unspecified,Neuron
6,ABalaa,ABala,AB,4,5,False,14.984375,112.0,132.0,20.0,Unspecified,Neuron
7,ABalaaa,ABalaa,AB,5,6,False,7.5,132.0,154.0,22.0,Unspecified,Neuron
8,ABalaaaa,ABalaaa,AB,6,7,False,3.5,154.0,178.0,24.0,Unspecified,Neuron
9,ABalaaaal,ABalaaaa,AB,7,8,False,1.5,178.0,205.0,27.0,Unspecified,Neuron
10,ABalaaaala,ABalaaaal,AB,8,9,False,0.5,205.0,235.0,30.0,Unspecified,Neuron
11,ABalaaaalal,ABalaaaala,AB,9,10,True,0.0,235.0,263.0,28.0,Neuron,Neuron
12,ABalaaaalar,ABalaaaala,AB,9,10,True,1.0,235.0,263.0,28.0,Death,Not annotated
13,ABalaaaalp,ABalaaaal,AB,8,9,False,2.5,205.0,235.0,30.0,Unspecified,Neuron
14,ABalaaaalpa,ABalaaaalp,AB,9,10,True,2.0,235.0,263.0,28.0,Death,Not annotated
15,ABalaaaalpp,ABalaaaalp,AB,9,10,True,3.0,235.0,263.0,28.0,Neuron,Neuron
16,ABalaaaar,ABalaaaa,AB,7,8,False,5.5,178.0,205.0,27.0,Unspecified,Neuron
17,ABalaaaarl,ABalaaaar,AB,8,9,False,4.5,205.0,235.0,30.0,Unspecified,Neuron
18,ABalaaaarla,ABalaaaarl,AB,9,10,True,4.0,235.0,263.0,28.0,Death,Not annotated
19,ABalaaaarlp,ABalaaaarl,AB,9,10,True,5.0,235.0,263.0,28.0,Neuron,Neuron
20,ABalaaaarr,ABalaaaar,AB,8,9,False,6.5,205.0,235.0,30.0,Unspecified,Neuron
21,ABalaaaarra,ABalaaaarr,AB,9,10,True,6.0,235.0,263.0,28.0,Death,Not annotated
22,ABalaaaarrp,ABalaaaarr,AB,9,10,True,7.0,235.0,263.0,28.0,Neuron,Neuron
23,ABalaaap,ABalaaa,AB,6,7,False,11.5,154.0,178.0,24.0,Unspecified,Neuron
24,ABalaaapa,ABalaaap,AB,7,8,False,9.5,178.0,205.0,27.0,Unspecified,Neuron
25,ABalaaapal,ABalaaapa,AB,8,9,False,8.5,205.0,235.0,30.0,Neuron,Neuron
26,ABalaaapall,ABalaaapal,AB,9,10,True,8.0,235.0,263.0,28.0,Neuron,Neuron
27,ABalaaapalr,ABalaaapal,AB,9,10,True,9.0,235.0,263.0,28.0,Neuron,Neuron
28,ABalaaapar,ABalaaapa,AB,8,9,False,10.5,205.0,235.0,30.0,Unspecified,Neuron
29,ABalaaaparl,ABalaaapar,AB,9,10,True,10.0,235.0,263.0,28.0,Death,Not annotated
30,ABalaaaparr,ABalaaapar,AB,9,10,True,11.0,235.0,263.0,28.0,Neuron,Neuron
31,ABalaaapp,ABalaaap,AB,7,8,False,13.5,178.0,205.0,27.0,Unspecified,Neuron
32,ABalaaappl,ABalaaapp,AB,8,9,False,12.5,205.0,235.0,30.0,Unspecified,Neuron
33,ABalaaappll,ABalaaappl,AB,9,10,True,12.0,235.0,263.0,28.0,Neuron,Neuron
34,ABalaaapplr,ABalaaappl,AB,9,10,True,13.0,235.0,263.0,28.0,Death,Not annotated
35,ABalaaappr,ABalaaapp,AB,8,9,False,14.5,205.0,235.0,30.0,Neuron,Neuron
36,ABalaaapprl,ABalaaappr,AB,9,10,True,14.0,235.0,263.0,28.0,Neuron,Neuron
37,ABalaaapprr,ABalaaappr,AB,9,10,True,15.0,235.0,263.0,28.0,Neuron,Neuron
38,ABalaap,ABalaa,AB,5,6,False,22.46875,132.0,154.0,22.0,Unspecified,Neuron
39,ABalaapa,ABalaap,AB,6,7,False,19.125,154.0,178.0,24.0,Unspecified,Neuron
40,ABalaapaa,ABalaapa,AB,7,8,False,17.5,178.0,205.0,27.0,Unspecified,Neuron
41,ABalaapaaa,ABalaapaa,AB,8,9,False,16.5,205.0,235.0,30.0,Unspecified,Neuron
42,ABalaapaaal,ABalaapaaa,AB,9,10,True,16.0,235.0,263.0,28.0,Death,Not annotated
43,ABalaapaaar,ABalaapaaa,AB,9,10,True,17.0,235.0,263.0,28.0,Neuron,Neuron
44,ABalaapaap,ABalaapaa,AB,8,9,False,18.5,205.0,235.0,30.0,Unspecified,Neuron
45,ABalaapaapa,ABalaapaap,AB,9,10,True,18.0,235.0,263.0,28.0,Death,Not annotated
46,ABalaapaapp,ABalaapaap,AB,9,10,True,19.0,235.0,263.0,28.0,Neuron,Neuron
47,ABalaapap,ABalaapa,AB,7,8,False,20.75,178.0,205.0,27.0,Unspecified,Neuron
